15 15
1 2 3
1 5 2
1 7 3
1 8 2
1 10 3
1 12 3
1 13 2
1 15 3
2 1 3
2 2 0
2 5 2
2 10 3
2 11 2
2 15 2
3 4 3
3 7 1
3 9 2
3 11 1
3 12 2
3 14 2
3 15 2
4 2 2
4 6 3
4 7 1
4 8 2
4 10 2
5 3 2
5 6 1
5 11 2
5 12 2
5 14 3
5 15 2
6 1 2
6 3 3
6 5 3
6 8 1
6 9 1
6 11 2
6 14 2
7 1 3
7 5 3
7 7 1
7 8 0
7 12 3
7 13 3
8 1 1
8 3 2
8 6 3
8 8 2
8 9 2
8 14 2
9 1 2
9 7 2
9 12 3
10 1 1
10 4 2
10 6 3
10 7 2
10 8 1
10 10 1
10 11 1
10 12 2
10 13 2
10 15 2
11 3 2
11 4 2
11 7 3
11 8 2
11 9 3
11 15 2
12 1 2
12 2 2
12 5 3
12 9 2
12 11 1
12 12 3
12 13 2
12 15 2
13 1 3
13 2 2
13 3 1
13 4 2
13 6 2
13 7 2
13 8 2
13 9 1
13 15 1
14 3 1
14 5 2
14 6 2
14 7 2
14 10 3
14 13 3
15 2 2
15 4 3
15 5 3
15 7 2
15 8 2
15 10 1
15 12 1
15 13 3
15 14 2
