15 15
1 5 3
1 6 3
1 11 3
1 13 3
1 14 3
2 1 2
2 3 3
2 7 1
2 8 2
2 9 1
2 10 3
2 12 2
2 15 1
3 1 2
3 4 2
3 5 3
3 6 3
3 10 3
3 13 1
4 1 3
4 4 2
4 8 1
4 10 3
4 12 3
5 1 1
5 2 2
5 5 3
5 8 2
5 9 2
5 14 1
5 15 3
6 3 2
6 4 1
6 5 3
6 11 2
6 12 1
6 13 2
6 14 2
7 1 3
7 2 1
7 5 1
7 6 2
7 8 1
8 2 3
8 3 1
8 6 2
8 7 2
8 14 1
8 15 2
9 4 2
9 7 1
9 8 1
9 11 2
9 13 1
9 14 3
10 1 3
10 4 3
10 8 2
10 11 2
10 14 3
11 2 2
11 6 3
11 7 1
11 8 3
11 11 2
11 12 3
12 1 2
12 3 1
12 4 1
12 5 2
12 7 2
12 9 2
12 11 3
12 12 1
12 14 2
13 1 2
13 3 2
13 4 2
13 8 3
13 13 3
13 14 1
13 15 3
14 1 3
14 2 1
14 3 3
14 6 3
14 9 1
14 14 2
15 3 2
15 5 2
15 6 3
15 8 3
15 9 2
15 11 1
15 12 2
15 14 2
15 15 3
