30 30
1 2 1
1 4 2
1 5 1
1 7 3
1 9 1
1 10 3
1 13 3
1 15 2
1 17 2
1 18 3
1 19 2
1 20 2
1 23 1
1 24 3
1 28 3
2 1 3
2 3 3
2 5 2
2 6 0
2 10 3
2 12 0
2 14 2
2 15 3
2 19 2
2 20 2
2 22 1
2 23 2
2 26 1
2 27 1
2 28 2
3 1 1
3 4 0
3 5 2
3 7 0
3 8 2
3 9 2
3 10 1
3 13 1
3 14 3
3 15 1
3 16 2
3 18 2
3 20 3
3 22 2
3 23 2
3 26 2
4 1 2
4 3 0
4 6 2
4 8 0
4 9 3
4 11 2
4 14 2
4 17 1
4 18 2
4 21 1
4 22 2
4 25 3
4 26 3
4 27 2
4 28 2
5 3 2
5 5 3
5 6 2
5 9 3
5 11 3
5 13 3
5 14 3
5 17 1
5 19 3
5 20 1
5 21 1
5 22 2
5 24 0
5 27 3
5 28 2
6 2 1
6 3 3
6 4 2
6 9 2
6 12 2
6 13 2
6 15 0
6 16 2
6 17 2
6 18 2
6 19 2
6 21 1
6 22 2
6 24 1
6 26 1
6 28 0
7 1 3
7 6 3
7 7 2
7 8 2
7 11 2
7 13 2
7 16 1
7 19 2
7 22 3
7 25 2
7 28 1
8 1 2
8 3 1
8 6 1
8 8 2
8 9 2
8 11 2
8 13 0
8 16 2
8 17 2
8 18 2
8 19 3
8 22 1
8 24 2
8 25 0
8 26 1
8 28 3
9 1 2
9 3 3
9 4 2
9 6 1
9 7 2
9 11 2
9 14 0
9 16 2
9 17 1
9 22 0
9 23 1
9 26 0
10 1 2
10 2 2
10 3 3
10 4 0
10 6 1
10 7 3
10 10 2
10 11 2
10 12 2
10 13 3
10 19 2
10 20 1
10 25 3
10 26 2
10 27 3
11 1 2
11 5 0
11 8 3
11 10 2
11 12 2
11 13 2
11 14 2
11 15 3
11 16 2
11 18 1
11 20 2
11 21 2
11 22 3
11 23 2
11 25 1
11 27 1
12 2 0
12 4 2
12 5 1
12 7 1
12 10 3
12 13 2
12 15 2
12 16 2
12 17 1
12 19 3
12 20 2
12 23 3
13 2 1
13 3 0
13 4 3
13 6 2
13 8 0
13 9 0
13 13 2
13 14 2
13 15 2
13 16 2
13 17 1
13 18 0
13 22 2
13 24 2
13 27 3
13 28 2
14 4 2
14 5 0
14 6 1
14 7 3
14 10 3
14 11 2
14 12 2
14 13 2
14 14 2
14 16 3
14 18 0
14 26 0
14 28 3
15 1 2
15 2 2
15 3 1
15 6 3
15 7 2
15 8 2
15 9 2
15 10 2
15 12 3
15 14 3
15 18 2
15 20 2
15 22 1
15 24 3
15 25 2
15 26 2
15 27 3
15 28 2
16 1 3
16 6 2
16 7 2
16 8 1
16 10 3
16 11 0
16 12 2
16 13 0
16 15 0
16 17 3
16 18 2
16 19 2
16 21 1
16 25 2
16 26 1
17 1 1
17 2 2
17 5 3
17 6 1
17 8 2
17 9 1
17 10 3
17 13 2
17 14 1
17 15 0
17 16 0
17 18 2
17 21 1
17 22 2
17 23 2
17 25 1
17 26 1
17 27 0
18 3 2
18 5 2
18 7 1
18 8 2
18 10 1
18 12 2
18 13 1
18 18 3
18 19 3
18 20 3
18 21 2
18 22 3
18 23 3
18 26 1
18 27 0
19 1 3
19 2 2
19 7 2
19 8 3
19 14 3
19 18 0
19 19 1
19 20 2
19 24 3
20 3 3
20 5 2
20 10 2
20 11 3
20 14 2
20 15 2
20 16 2
20 17 1
20 20 2
20 21 1
20 23 3
20 24 1
20 26 3
20 28 2
21 1 2
21 3 2
21 5 3
21 8 0
21 9 1
21 11 2
21 14 2
21 18 3
21 21 3
21 23 2
21 28 3
22 1 2
22 5 2
22 6 3
22 7 3
22 10 2
22 11 3
22 12 2
22 13 1
22 14 3
22 15 0
22 16 1
22 18 2
22 20 3
22 21 2
22 25 3
22 28 1
23 3 2
23 4 3
23 5 1
23 6 2
23 7 1
23 9 2
23 11 2
23 12 1
23 13 0
23 14 2
23 15 2
23 16 3
23 23 1
23 24 2
23 26 2
23 27 3
24 1 2
24 3 0
24 6 3
24 8 2
24 9 2
24 10 2
24 11 2
24 14 2
24 16 2
24 21 2
24 24 3
24 25 2
24 26 3
24 27 2
24 28 0
25 1 2
25 4 3
25 8 3
25 9 2
25 10 3
25 11 3
25 14 1
25 16 3
25 17 2
25 19 2
25 20 2
25 21 2
25 23 0
25 25 0
25 26 1
25 27 2
26 1 2
26 3 0
26 4 2
26 6 0
26 9 0
26 11 2
26 12 1
26 14 0
26 16 2
26 17 2
26 18 2
26 19 3
26 21 2
26 22 3
26 23 3
26 25 2
26 26 1
26 28 3
27 1 2
27 2 0
27 7 2
27 8 2
27 11 3
27 13 3
27 15 2
27 16 2
27 19 1
27 20 2
27 25 2
27 26 2
27 28 1
28 3 3
28 4 2
28 6 3
28 9 2
28 12 2
28 13 2
28 14 2
28 15 3
28 17 2
28 18 0
28 21 0
28 23 2
28 24 2
