45 45
1 2 0
1 4 0
1 7 3
1 10 3
1 12 2
1 13 2
1 14 2
1 16 3
1 18 1
1 20 2
1 21 2
1 25 3
1 28 1
1 33 2
1 37 3
1 38 1
1 39 0
1 41 2
1 42 2
2 3 3
2 4 2
2 6 3
2 7 1
2 11 2
2 13 3
2 14 2
2 15 2
2 16 2
2 18 1
2 20 2
2 22 0
2 23 3
2 25 1
2 27 2
2 28 2
2 30 0
2 32 2
2 33 2
2 34 2
2 35 2
2 37 1
2 40 2
2 43 0
3 1 2
3 2 1
3 5 2
3 9 2
3 10 2
3 13 2
3 16 2
3 18 1
3 20 2
3 21 1
3 23 2
3 24 1
3 26 0
3 29 1
3 32 1
3 34 3
3 37 2
3 39 2
4 1 2
4 2 2
4 7 1
4 13 3
4 14 2
4 18 1
4 19 2
4 20 2
4 21 2
4 22 3
4 23 0
4 24 0
4 27 3
4 32 3
4 35 1
4 37 2
4 39 1
4 41 2
5 2 3
5 4 1
5 7 2
5 9 3
5 12 1
5 13 2
5 18 2
5 20 3
5 25 2
5 27 3
5 28 2
5 31 2
5 33 0
5 34 0
5 35 2
5 39 1
5 40 3
5 41 3
5 43 2
6 1 2
6 6 1
6 8 1
6 9 2
6 11 2
6 13 3
6 15 2
6 16 0
6 18 2
6 22 2
6 27 1
6 29 2
6 30 3
6 31 3
6 34 1
6 36 2
6 39 1
6 41 1
6 42 0
6 43 1
7 1 1
7 2 0
7 5 3
7 6 0
7 8 3
7 11 2
7 14 2
7 18 1
7 21 2
7 25 2
7 33 3
7 34 3
7 37 2
7 39 0
7 40 2
7 41 1
8 1 2
8 2 0
8 4 1
8 6 2
8 7 0
8 11 3
8 12 3
8 14 3
8 19 3
8 21 2
8 23 2
8 26 2
8 27 3
8 29 3
8 30 2
8 34 1
8 35 0
8 42 3
9 2 1
9 5 0
9 7 2
9 9 1
9 11 0
9 16 3
9 17 2
9 18 2
9 19 2
9 20 2
9 24 2
9 26 2
9 27 2
9 28 1
9 29 2
9 30 3
9 33 1
9 38 2
9 39 2
10 6 0
10 10 1
10 12 0
10 16 2
10 18 2
10 20 2
10 21 2
10 23 2
10 27 2
10 29 2
10 33 1
10 35 2
10 36 2
10 37 3
10 41 3
11 1 3
11 2 2
11 3 3
11 8 3
11 12 3
11 15 2
11 16 3
11 17 2
11 18 3
11 20 2
11 22 3
11 23 2
11 24 3
11 27 2
11 33 0
11 34 3
11 38 1
11 42 1
12 4 3
12 6 2
12 7 2
12 8 3
12 11 1
12 12 1
12 13 0
12 16 3
12 19 1
12 20 3
12 23 0
12 25 0
12 27 2
12 28 2
12 30 3
12 31 2
12 34 3
12 36 1
12 39 2
12 40 2
12 41 2
12 43 1
13 1 2
13 2 1
13 5 0
13 6 0
13 8 2
13 10 2
13 12 2
13 14 3
13 15 1
13 17 2
13 18 3
13 21 0
13 25 2
13 29 3
13 35 3
13 37 2
13 38 2
13 39 3
13 42 2
14 9 2
14 10 2
14 13 3
14 15 3
14 20 3
14 21 2
14 23 2
14 24 2
14 33 3
14 36 1
14 39 3
14 41 3
15 1 1
15 2 1
15 3 2
15 4 1
15 6 2
15 9 3
15 18 2
15 19 2
15 21 2
15 25 1
15 26 3
15 27 2
15 30 3
15 34 3
15 36 2
15 40 2
15 41 2
15 43 3
16 1 0
16 3 3
16 4 2
16 7 2
16 8 0
16 9 2
16 12 2
16 13 2
16 16 2
16 20 3
16 21 0
16 25 2
16 29 0
16 30 3
16 33 3
16 38 3
16 41 2
16 42 1
17 2 3
17 4 2
17 6 2
17 10 3
17 13 1
17 15 2
17 17 2
17 18 2
17 19 2
17 23 2
17 26 0
17 31 2
17 36 1
17 37 0
17 38 2
18 1 1
18 2 3
18 4 1
18 7 2
18 15 2
18 17 3
18 19 2
18 21 2
18 24 2
18 28 2
18 29 3
18 30 2
18 31 2
18 33 2
18 34 1
18 36 0
18 38 3
18 39 2
18 41 2
18 42 3
19 4 2
19 5 3
19 6 2
19 7 2
19 9 3
19 12 1
19 13 2
19 15 3
19 20 3
19 21 1
19 24 0
19 25 0
19 28 0
19 34 2
19 36 1
19 39 2
20 2 3
20 7 2
20 14 1
20 17 2
20 22 1
20 24 2
20 26 3
20 28 1
20 31 3
20 32 3
20 36 2
20 37 2
20 39 3
20 41 2
20 43 2
21 2 3
21 4 3
21 6 2
21 7 1
21 9 0
21 10 2
21 11 3
21 12 3
21 13 2
21 14 3
21 16 1
21 17 3
21 18 2
21 19 0
21 21 3
21 27 1
21 28 2
21 39 1
21 43 1
22 2 2
22 3 2
22 4 2
22 8 0
22 11 2
22 13 3
22 18 3
22 21 2
22 24 3
22 25 2
22 28 3
22 31 3
22 33 2
22 34 1
22 35 3
22 37 0
22 38 2
22 41 2
22 42 3
23 2 2
23 4 3
