15 15
1 2 3
1 3 2
1 9 2
1 10 1
1 11 2
1 13 2
1 14 2
2 2 2
2 4 2
2 11 2
2 12 1
2 15 3
3 5 3
3 6 0
3 11 1
3 13 2
3 14 1
4 2 2
4 7 3
4 8 2
4 10 2
4 11 3
4 14 3
5 2 1
5 4 1
5 5 1
5 7 1
5 11 2
5 12 1
5 13 3
5 14 1
6 6 2
6 8 2
6 9 2
6 10 3
6 11 2
6 12 2
6 14 2
7 2 1
7 4 2
7 5 2
7 8 2
7 10 3
7 14 2
7 15 1
8 1 3
8 4 1
8 5 2
8 8 1
8 9 2
8 10 3
8 12 1
8 14 2
9 1 3
9 4 3
9 8 2
9 12 1
9 13 2
10 1 3
10 4 2
10 5 2
10 7 1
10 11 2
10 12 0
10 13 0
10 14 3
11 1 2
11 3 1
11 7 2
11 8 3
11 12 2
11 15 2
12 2 3
12 4 3
12 8 2
12 10 2
12 12 1
12 15 2
13 2 2
13 3 2
13 4 2
13 8 2
13 10 2
13 11 3
13 14 2
13 15 2
14 1 3
14 5 2
14 6 2
14 7 2
14 8 2
14 9 3
14 10 2
14 11 2
14 12 2
14 13 2
14 15 2
15 1 3
15 2 2
15 3 3
15 4 3
15 5 2
15 6 3
15 7 3
15 8 2
15 10 2
15 11 2
15 12 3
15 13 1
15 15 3
